prompt,A,B,C,D,E,answer
"Who produced Kerry Ellis' debut studio album ""Anthems""?",Kerry Ellis,Decca Records,Paul Rider,Tourist,Brian May,E
Which news outlets have published reports from the Center for Investigative Reporting on problems with the coal industry and the myth of clean coal?,"Al Jazeera English, Washington Post, The Sacramento Bee","NPR News, Los Angeles Times, San Francisco Chronicle","PBS Frontline, American Public Media's Marketplace, Al Jazeera English",All of the above,"PBS NEWSHOUR, Salon, The Daily Beast",D
What is the significance of the Omotenashi student volunteer group at the World Cosplay Summit?,"The Omotenashi student volunteer group was established as a way to provide assistance to local and international volunteers organizing the event, ensuring a successful implementation since 2009.","The Omotenashi student volunteer group had the role of coordinating the World Cosplay Summit held in 2009, resulting in the successful organization of the event.","The Omotenashi student volunteer group was responsible for recruiting participants from Hong Kong and Taiwan, thus increasing the number of participating countries and regions to 24.",The Omotenashi student volunteer group was introduced this year to showcase the cultural exchange between Japan and other participating countries and regions.,"The Omotenashi student volunteer group acted as an observer nation, allowing Vietnam and the Philippines to join the event and bringing the total number of participating countries and regions to 24.",A
How many weight classes were there in each of the freestyle wrestling and Greco-Roman wrestling disciplines at the 1976 Summer Olympics?,The number of weight classes varied between the disciplines.,20 weight classes in each discipline,15 weight classes in each discipline,10 weight classes in each discipline,5 weight classes in each discipline,D
"What is the approach taken by artists towards the images of Mao in Chinese folk art, according to Claude Hudelot and Guy Gallice?","Artists choose to divert and distort the images of Mao in an exaggerated and grotesque manner, challenging the propaganda and power of these images.","Artists adopt a respectful and faithful representation of Mao's images, adhering to traditional iconography techniques.","Artists incorporate the images of Mao in a neutral and impartial manner, focusing on their historical significance rather than any personal interpretation.","Artists create realistic and lifelike depictions of Mao, aiming to capture his true essence and personality.",Artists completely ignore the images of Mao and do not incorporate them in their artwork.,A
What was the main focus of the content in Next Generation magazine?,Interviews with people in the video game industry about the details of the latest game or game system they were working on.,Reviews and critiques of the latest video games and gaming consoles.,Previews and anticipation of the Sega Saturn and Sony PlayStation consoles.,"Game development from a technical perspective, including discussions about game engines and programming languages.",Discussions and analysis of the artistic aspects of video game development.,E
What are the musical influences of Kasey Anderson?,"Type 1 Bipolar Disorder, alcohol and cocaine addiction","Bob Dylan, Goodie Mob",United States District Court for the Western District of Washington,"The Faces, The New York Dolls, The Replacements","Chuck Berry, The Rolling Stones, Bo Diddley",E
When was the Grand 10 Berlin road running event first held?,2012,2014,2016,2010,2008,E
How many knots could the boat reach during Dom Mee's attempt to cross the North Atlantic Ocean?,Thirteen,Seventeen,Twenty,Nine,Five,A
"Who was awarded the 2015 Birthday Honours for services to the community in County Armagh, Northern Ireland?",Mrs Mary Mcalinden,Mrs Heather Mccoll Mcintosh,Sgt Major Jonathan Hugh Mcdonald,Mrs Annie Watt Amos Mckenzie,"There is no information about an award recipient for services to the community in County Armagh, Northern Ireland in the 2015 Birthday Honours.",A
Why did Necro drop off the tour mentioned in the excerpt?,Necro dropped off the tour due to receiving negative feedback from the attendees.,Necro dropped off the tour due to scheduling conflicts with other commitments.,Necro dropped off the tour due to an illness.,Necro dropped off the tour to focus on recording his new album.,Necro dropped off the tour due to technical issues with his equipment.,A
"What was the consequences of the Kothari's false statement about the foodgrains in the granary to Hammira, the king?",The king appointed a new Kothari to oversee the granary.,The king rewarded the Kothari for his loyalty and deception.,The king ordered the fort's granary to be restocked immediately.,The king ordered the killing of the Kothari for his false statement.,The king decided to negotiate a peace treaty with the enemy.,D
"In the novel ""Bazaar-e-Husn,"" what is the main protagonist's name and social background?","Meera, a lower-caste girl raised in poverty in Varanasi.","Suman, a Brahmin lady married into a loveless union for societal reasons.","Kavita, a courtesan's daughter in an orthodox Hindu family.","Reena, an orphaned child adopted by a wealthy merchant in Varanasi.","Radha, a British woman married to an Indian civil servant in Varanasi.",B
